time,open,high,low,close
2022-09-21T09:00:00+01:00,1330.83,1353.73,1323.65,1351
2022-09-21T13:00:00+01:00,1350.31,1360.2,1334.16,1343.12
2022-09-21T17:00:00+01:00,1342.32,1395.53,1303.39,1323.67
2022-09-21T21:00:00+01:00,1323.25,1325.7,1221.16,1246.64
2022-09-22T01:00:00+01:00,1246.56,1271.42,1237.8,1262.78
2022-09-22T05:00:00+01:00,1263.46,1280.48,1255.35,1279.07
2022-09-22T09:00:00+01:00,1279.26,1313.02,1277.46,1308.51
2022-09-22T13:00:00+01:00,1309.8,1312.74,1257.06,1271.23
2022-09-22T17:00:00+01:00,1271.68,1336.51,1253.69,1323.98
2022-09-22T21:00:00+01:00,1324.72,1348.2,1307.62,1326.51
2022-09-23T01:00:00+01:00,1326.45,1344.87,1316.14,1340.16
2022-09-23T05:00:00+01:00,1340.79,1358.6,1329.4,1331.61
2022-09-23T09:00:00+01:00,1332.34,1335.14,1282.78,1287.53
2022-09-23T13:00:00+01:00,1286.52,1318.58,1262.62,1293.92
2022-09-23T17:00:00+01:00,1294.66,1306.37,1275.65,1292.89
2022-09-23T21:00:00+01:00,1293.28,1339.35,1292.45,1327.36
2022-09-24T01:00:00+01:00,1327.27,1329.82,1311.18,1321.8
2022-09-24T05:00:00+01:00,1321.88,1337.07,1317.12,1322.57
2022-09-24T09:00:00+01:00,1322.89,1331.71,1317.84,1327.33
2022-09-24T13:00:00+01:00,1327.57,1348.9,1326.38,1339.59
2022-09-24T17:00:00+01:00,1339.85,1347.57,1334.32,1342.58
2022-09-24T21:00:00+01:00,1342.85,1343.9,1306.9,1317.23
2022-09-25T01:00:00+01:00,1317.25,1329.22,1315.64,1329.22
2022-09-25T05:00:00+01:00,1329.03,1336.03,1320.22,1332.88
2022-09-25T09:00:00+01:00,1333.21,1334.4,1317.62,1329.61
2022-09-25T13:00:00+01:00,1329.71,1331.45,1299.6,1311.2
2022-09-25T17:00:00+01:00,1311.1,1320.84,1283.13,1299.85
2022-09-25T21:00:00+01:00,1300.09,1302.71,1271.14,1294.71
2022-09-26T01:00:00+01:00,1294.57,1313.4,1287.99,1303.72
2022-09-26T05:00:00+01:00,1303.43,1306.39,1278.78,1295.47
2022-09-26T09:00:00+01:00,1296.49,1324.17,1289.95,1297.31
2022-09-26T13:00:00+01:00,1296.85,1337.92,1294.62,1325.31
2022-09-26T17:00:00+01:00,1324.19,1339.2,1311.1,1330.24
2022-09-26T21:00:00+01:00,1329.35,1337.48,1315.72,1336.42
2022-09-27T01:00:00+01:00,1336.54,1389.68,1331.91,1385.79
2022-09-27T05:00:00+01:00,1387.22,1394.86,1375.44,1382.5
2022-09-27T09:00:00+01:00,1384.41,1398.36,1375.6,1389.06
2022-09-27T13:00:00+01:00,1389.16,1400.31,1361.76,1364.92
2022-09-27T17:00:00+01:00,1367.05,1367.8,1301.55,1324.55
2022-09-27T21:00:00+01:00,1322.68,1333.93,1316.66,1328.22
2022-09-28T01:00:00+01:00,1327.73,1339.5,1267.43,1287
2022-09-28T05:00:00+01:00,1285.68,1292.7,1267.31,1285.45
2022-09-28T09:00:00+01:00,1285.37,1312.21,1258.13,1294.52
2022-09-28T13:00:00+01:00,1296.42,1333.09,1293.55,1332.15
2022-09-28T17:00:00+01:00,1336.6,1343.24,1308.8,1334.08
2022-09-28T21:00:00+01:00,1333.48,1359.32,1331.89,1336.99
2022-09-29T01:00:00+01:00,1336.6,1352.06,1326.89,1341.87
2022-09-29T05:00:00+01:00,1341.68,1345.49,1314.15,1322.05
2022-09-29T09:00:00+01:00,1320.75,1343.64,1314.55,1336.97
2022-09-29T13:00:00+01:00,1336.87,1337.1,1289.32,1327.2
2022-09-29T17:00:00+01:00,1327.49,1347.94,1315.18,1333.34
2022-09-29T21:00:00+01:00,1334.86,1339.68,1324.83,1336.14
2022-09-30T01:00:00+01:00,1337.1,1352.14,1320.71,1327.45
2022-09-30T05:00:00+01:00,1327.68,1346.45,1326.33,1340.51
2022-09-30T09:00:00+01:00,1340.92,1349.38,1328.17,1330.77
2022-09-30T13:00:00+01:00,1331.32,1373.09,1316.49,1351.46
2022-09-30T17:00:00+01:00,1346.63,1362.46,1335.14,1338.3
2022-09-30T21:00:00+01:00,1336.42,1345.42,1316.86,1328.97
2022-10-01T01:00:00+01:00,1328.24,1333.82,1324.38,1329.68
2022-10-01T05:00:00+01:00,1329.58,1331.79,1323.8,1329.2
2022-10-01T09:00:00+01:00,1329.17,1334.58,1318.41,1325.57
2022-10-01T13:00:00+01:00,1325.22,1329.72,1319.95,1322.45
2022-10-01T17:00:00+01:00,1323.24,1323.74,1305.76,1312.17
2022-10-01T21:00:00+01:00,1311.12,1316.1,1303.36,1312.07
2022-10-02T01:00:00+01:00,1311.67,1315.96,1306.57,1309.7
